message	pattern
Complex join predicate; use equality joins	\bJOIN\b[^;]*?\bON\b[\s\S]*?(?:\b(?:OR|LIKE|BETWEEN)\b|<>|!=|<|>|<=|>=)
Subquery join; use CTE, temp table, or direct join	\bJOIN\s*\(\s*SELECT\b[\s\S]*\bJOIN\b
Tautological join; add keys or CROSS JOIN	\bJOIN\b[\s\S]*?\bON\s+(?:1\s*=\s*1|TRUE|'[^']*'\s*=\s*'[^']*')\b
DISTINCT with GROUP BY; remove DISTINCT	\bSELECT\s+DISTINCT\b[\s\S]*\bGROUP\s+BY\b
UNION DISTINCT; use UNION ALL if possible	\bUNION\s+DISTINCT\b
CREATE DATABASE; provision through migrations	\bCREATE\s+DATABASE\b
Wide VARCHAR; choose realistic length	\bVARCHAR\s*\(\s*(?:65535|32000)\s*\)
Wrapped predicate; make it sargable	\bWHERE\b[\s\S]*?\b(?:ISNULL|COALESCE|NVL|NVL2|IFNULL|UPPER|LOWER|RTRIM|LTRIM|ABS|ROUND|DATEADD|DATEDIFF|TO_CHAR|TO_DATE|TO_NUMBER|TO_TIMESTAMP|CAST|CONVERT)\s*\(\s*\w+
Plan diagnostics; remove from production SQL	\b(?:EXPLAIN\s+PLAN\s+FOR|/\*\+\s*GATHER_PLAN_STATISTICS\s*\*/)\b
Repeated CREATE INDEX; consolidate and build online	(?:\bCREATE\s+(?:UNIQUE\s+)?INDEX\b[\s\S]*\bON\s+\w+[\s\S]*?){2,}
Repeated DML; batch in stable table order	\b(?:UPDATE|DELETE)\b[^;]*;[\s\S]*\b(?:UPDATE|DELETE)\b
Foreign key; add supporting indexes	\bFOREIGN\s+KEY\b
Boolean/status index; use partial composite index	\bCREATE\s+INDEX\b[\s\S]*\bON\s+\w+\s*\(\s*(?:is_[A-Za-z_]+|status|active|enabled)\s*\)
Filter plus sort; add matching composite index	\bSELECT\b[\s\S]*\bWHERE\b[\s\S]*\bORDER\s+BY\b
Low-selectivity index; replace with partial/composite	\bCREATE\s+INDEX\b[\s\S]*\bON\s+\w+\s*\(\s*(?:status|active|enabled|deleted_at)\s*\)
Join then aggregate; aggregate before joining	\bJOIN\b[\s\S]*\bGROUP\s+BY\b[\s\S]*\bCOUNT\s*\(
Trailing wildcard LIKE; use prefix/search index	\bLIKE\s+N?'[^%']+%'
Many OR predicates; use IN, UNION, or lookup	\bWHERE\b[\s\S]*\bOR\b[\s\S]*\bOR\b[\s\S]*\bOR\b
IN subquery; use EXISTS/JOIN with index	\bWHERE\b[\s\S]*\bIN\s*\(\s*SELECT\b
Inequality filter; add selective predicate	\bSELECT\b[\s\S]*\bFROM\b[\s\S]*\bWHERE\b[\s\S]*\b(?:<>|!=)\b
VACUUM INDEX_CLEANUP; schedule after bloat review	\bVACUUM\b[\s\S]*\bINDEX_CLEANUP\b
Unqualified procedure; schema-qualify it	\bCREATE\s+(?:OR\s+REPLACE\s+)?(?:PROC|PROCEDURE)\s+\[?\w+\]?\b
EXPLAIN in SQL; move to diagnostics	\bEXPLAIN\s+(?:EXTENDED|CBO|AST|DEPENDENCY|AUTHORIZATION|LOCKS|VECTORIZATION|ANALYZE|LOGICAL|VERBOSE|COSTS)\b
PROFILE in SQL; remove from production	(?:^|;)\s*PROFILE\b
Too many joins; pre-aggregate or index keys	(?:\bJOIN\b[\s\S]*?){5,}
Correlated subquery; rewrite as JOIN/EXISTS	\bSELECT\b[\s\S]*?\(\s*SELECT\b[^)]*\bWHERE\b[^)]*\b\w+\.\w+\s*=\s*\w+\.\w+
OUT parameter; return result or reference mode	\b(?:IN\s+OUT|OUT)\s+\w+\s+\w+
Maintenance pragma; run outside requests	\bPRAGMA\s+optimize\b
Table hint syntax; use WITH(...) or remove	\bFROM\s+\w+\s+\((?:\s*NOLOCK|\s*READUNCOMMITTED|\s*READPAST|\s*ROWLOCK|\s*TABLOCK|\s*TABLOCKX|\s*UPDLOCK|\s*XLOCK|\s*HOLDLOCK|\s*NOWAIT|\s*READCOMMITTED|\s*REPEATABLEREAD|\s*SERIALIZABLE)\s*\)
LIKE without wildcard; use =	\bLIKE\s+N?'[^%_']*'
WITH RECOMPILE; remove unless skew-proven	\bCREATE\s+(?:OR\s+REPLACE\s+)?(?:PROC|PROCEDURE|FUNCTION)\b[\s\S]*\bWITH\s+RECOMPILE\b
Column layout; place fixed-width columns first	\bCREATE\s+TABLE\b[\s\S]*\b(?:SMALLINT|BOOL(?:EAN)?|CHAR\s*\(\s*\d+\s*\))\b[\s\S]*\b(?:BIGINT|TIMESTAMP|DOUBLE|NUMERIC)\b[\s\S]*\b(?:SMALLINT|BOOL(?:EAN)?)\b
Compression option; validate CPU/storage tradeoff	\b(?:ROW_FORMAT\s*=\s*COMPRESSED|COMPRESSION\s*=\s*['\"]?\w+['\"]?|KEY_BLOCK_SIZE\s*=\s*\d+)\b
Wide SELECT; project only needed columns	\bSELECT\b(?:\s+\w+(?:\.\w+)?\s*,){10,}
EXISTS subquery; correlate on indexed keys	\b(?:NOT\s+)?EXISTS\s*\(\s*SELECT\b
Expression subquery; precompute in CTE/JOIN	\b(?:COALESCE|IIF|CASE)\s*\([^)]*\(\s*SELECT\b|\bCASE\s+\(\s*SELECT\b
DISTINCT join; fix cardinality or use EXISTS	\bSELECT\s+DISTINCT\b[\s\S]*\bJOIN\b
Stats collection; run as maintenance	\b(?:ANALYZE\s+TABLE|RUNSTATS)\b
Stats computation; schedule refresh	\bCOMPUTE\s+(?:STATISTICS|STATS)\b
SELECT FOR UPDATE; lock indexed rows briefly	\bSELECT\b[\s\S]*\bFOR\s+UPDATE\b
Partitioned query; filter by partition key	\bPARTITION\s+BY\b[\s\S]*?\bSELECT\b[\s\S]*?(?:;|$)
Single-row INSERT; batch or bulk load	\bINSERT\s+INTO\s+\w+(?:\.\w+)*\s*(?:\([^)]*\))?\s*VALUES\s*\([^)]*\)\s*(?:;|$)
UPDATE/DELETE subquery; rewrite as JOIN/USING	\b(UPDATE|DELETE)\b[\s\S]*\bWHERE\b[\s\S]*\b(IN|EXISTS)\s*\(\s*SELECT\b
Complex routine; split or move logic	\b(CREATE\s+(?:OR\s+REPLACE\s+)?PROCEDURE|CREATE\s+(?:OR\s+REPLACE\s+)?FUNCTION)\b[\s\S]*?(?:(?:\bIF\b|\bWHILE\b|\bCASE\b)[\s\S]*?){5,}
TODO in SQL; resolve or track externally	\b(TODO|FIXME|XXX|HACK)\b
Magic WHERE constant; parameterize or configure	WHERE\s+.*\s*=\s*[\'"].+[\'"]
Hardcoded date; parameterize or derive interval	\bWHERE\b.+['\"](\d{4}-\d{2}-\d{2})['\"]
UNION; use UNION ALL if possible	\bUNION\b
STRAIGHT_JOIN; remove unless plan-proven	\bSTRAIGHT_JOIN\b
Hungarian identifier; rename to snake_case	\b(str_|int_|i_|tbl_|v_|idx_|fk_|pk_)[a-z0-9_]+\b
NULL equality; use IS NULL	\s*=\s*NULL\b|\bNULL\s*=\s*|!=\s*NULL\b|<>\s*NULL\b
ROWNUM without order; order before limiting	\bROWNUM\b
DUAL reference; remove where supported	\bFROM\s+DUAL\b
Money float; use DECIMAL/NUMERIC	\b(price|amount|balance|cost|total|sum)\b.*?\b(FLOAT|REAL|DOUBLE)\b
AUTOINCREMENT; use identity or sequence	\bAUTOINCREMENT\b
EXISTS projection; use SELECT 1	\bEXISTS\s*\(\s*SELECT\s+\*
Derived table; add alias	\bFROM\s*\(\s*SELECT\b[^)]+\)\s*WHERE\b
Commented SQL; delete or move to tests	--\s*(SELECT|INSERT|UPDATE|DELETE|DROP|CREATE|ALTER|TRUNCATE)\b|/\*.*?(SELECT|INSERT|UPDATE|DELETE)\b.*?\*/
Hardcoded test data; move to fixtures	[\'"][^\'"]*(test|dummy|fake|temp|asdf|qwerty)[^\'"]*[\'"]
ANSI_NULLS off; enable ANSI NULLs	\bSET\s+ANSI_NULLS\s+OFF\b
QUOTED_IDENTIFIER off; enable it	\bSET\s+QUOTED_IDENTIFIER\s+OFF\b
ELSE NULL; remove or set fallback	\bELSE\s+NULL\s+END\b
COALESCE unreachable args; remove them	\bCOALESCE\s*\(\s*[^,()]+\s*,\s*(?:'[^']*'|\d+|TRUE|FALSE)\s*,
Conflicting row limits; keep one	\bTOP\s+\d+\b[\s\S]*\bLIMIT\b|\bLIMIT\s+\d+\b[\s\S]*\bFETCH\s+FIRST\b|\bTOP\s+\d+\b[\s\S]*\bFETCH\s+FIRST\b
Non-ASCII literal; bind as Unicode	'[^']*[^\x00-\x7f]+[^']*'
CASE missing ELSE; add explicit ELSE	\bCASE\b[\s\S]*?\bEND\b
String alias; use identifier quoting	\bAS\s+['"][^'"]+['"]
Unqualified column; add table alias	\bFROM\s+\w+\s+(?:AS\s+)?\w+\s*,\s*\w+\b|\bJOIN\b[\s\S]*\bON\s+\w+\s*=\s*\w+\b
Positional parameter; use named parameter	\?
Non-ANSI inequality; use <>	!=
Control character; remove it	[\x00-\x08\x0B\x0C\x0E-\x1F\x7F]
Expression missing alias; add stable alias	\bSELECT\b[\s\S]*?(?:\b\w+\s*\([^)]*\)|\w+\s*[+\-*/]\s*\w+)\s*(?:,|\bFROM\b)
Redundant ASC; omit or standardize direction	\bORDER\s+BY\b[\s\S]*?\bASC\b
GOTO; use structured control flow	\bGOTO\s+\w+\b
Empty routine; implement or remove	\bCREATE\s+(?:OR\s+REPLACE\s+)?(?:PROCEDURE|FUNCTION)\b[\s\S]*\bBEGIN\s*END\b
Mixed AND/OR; add parentheses	\bWHERE\b[^;()]*\bAND\b[^;()]*\bOR\b[^;()]*|\bWHERE\b[^;()]*\bOR\b[^;()]*\bAND\b[^;()]*
Four-part reference; isolate cross-server access	\b\w+\.\w+\.\w+\.\w+\b
Positional ORDER BY; use names or aliases	\bORDER\s+BY\s+\d+\b
Hardcoded database; use configuration	\b(?:prod|production|dev|development|staging|qa|test)db\.\w+\.\w+\b
Missing type length; specify length	\b(?:VARCHAR|NVARCHAR|CHAR|NCHAR|VARBINARY|BINARY)\s*(?:,|\)|;|$)
DEFINER clause; use invoker or service account	\bDEFINER\s*=\s*\S+
Storage engine; use environment standard	\bENGINE\s*=\s*\w+
Explicit charset; use standard charset	\b(?:CHARACTER\s+SET|CHARSET)\s*=?\s*\w+
Uppercase object; rename lower_snake_case	\bCREATE\s+(?:TABLE|VIEW)\s+(?:IF\s+NOT\s+EXISTS\s+)?\w*[A-Z]\w*\b
AUTO_INCREMENT type; use integer key	\b(?:CHAR|VARCHAR|TEXT|BLOB|FLOAT|DOUBLE|DECIMAL)\s*\([^)]*\)?\s+(?:NOT\s+NULL\s+)?AUTO_INCREMENT\b
CASE input drift; use searched CASE	\bCASE\s+\w+(?:\.\w+)?\s+WHEN\s+[^\s]+\s+THEN\b[\s\S]*?\bWHEN\s+\w+(?:\.\w+)?\s*(?:<>|!=|<|>|<=|>=)\b
Repeated unary operator; simplify it	(?:--|\+\+|NOT\s+NOT\b)
Inverted boolean; rewrite direct predicate	\bNOT\s+\w+(?:\.\w+)?\s*(?:=|<>|!=)\b
Large CASE; use lookup table	\bCASE\b(?:[\s\S]*?\bWHEN\b){10,}
Redundant parentheses; remove them	\(\s*\(\s*\w+(?:\.\w+)?\s*\)\s*\)
Generic id key; use domain key name	\bCREATE\s+TABLE\b[^;]*\(\s*id\s+(?:INT|INTEGER|BIGINT|SERIAL|BIGSERIAL|UUID)\b[^,)]*\bPRIMARY\s+KEY\b
EAV model; use typed attributes	\bCREATE\s+TABLE\b[^;]*\b(entity_id|entity)\b[^;]*\b(attribute|attr|attr_name|attribute_name)\b[^;]*\b(value|attr_value|attribute_value)\b
Date-suffixed object; use partitioning	\bCREATE\s+TABLE\b[^(]*\b\w+_(?:19|20)\d{2}\b
Nullable concat; COALESCE nullable parts	\b(?:CONCAT\s*\(\s*\w+\s*,\s*\w+|\w+\s*\|\|\s*\w+)
Nested CASE; flatten or use lookup	\bCASE\b[\s\S]*?\bCASE\b
FROM subquery; name CTE or temp table	\b(?:FROM|JOIN)\s*\(\s*SELECT\b
TRUNCATE; require approval and backup	\bTRUNCATE\s+TABLE\b|\bTRUNCATE\b
Destructive ALTER; use expand/contract migration	\bALTER\s+TABLE\b.+\bDROP\s+COLUMN\b|\bALTER\s+TABLE\b.+\bMODIFY\s+COLUMN\b|\bALTER\s+TABLE\b.+\bRENAME\s+COLUMN\b|\bALTER\s+TABLE\b.+\bCHANGE\s+COLUMN\b
Multi-table transaction; lock in stable order	\bBEGIN\b[\s\S]*?\bUPDATE\s+(\w+)\b[\s\S]*?\bUPDATE\s+(\w+)\b[\s\S]*?\bCOMMIT\b
Empty exception handler; log and re-raise	\bWHEN\s+OTHERS\s+THEN\s+NULL\b
INSERT IGNORE; handle conflicts explicitly	\bINSERT\s+IGNORE\b
REPLACE INTO; use upsert or MERGE	\bREPLACE\s+INTO\b
ON UPDATE CASCADE; restrict key changes	\bON\s+UPDATE\s+CASCADE\b
Autonomous transaction; isolate audit writes	\bPRAGMA\s+AUTONOMOUS_TRANSACTION\b
Check-then-act race; use atomic upsert	\bIF\s+(NOT\s+)?EXISTS\s*\(\s*SELECT[^)]+\)[^;]*\b(INSERT|UPDATE|DELETE)\b
FK checks disabled; enable and repair	\bPRAGMA\s+foreign_keys\s*=\s*(?:OFF|0|false)\b
Stale read risk; use RETURNING/output	^.*?(INSERT|UPDATE)\s+[^;]+;\s*SELECT\s+[^;]+FROM\s+(\w+)
Autocommit off; add explicit boundaries	\bSET\s+autocommit\s*=\s*0\b|\bSET\s+IMPLICIT_TRANSACTIONS\s+ON\b
Empty transaction; remove it	\b(?:BEGIN|START\s+TRANSACTION)\s*;\s*(?:COMMIT|END)\b
Generated column add; backfill in phases	\bALTER\s+TABLE\b[\s\S]*\bADD\s+COLUMN\b[\s\S]*\b(?:SERIAL|GENERATED\s+ALWAYS\s+AS\s+STORED)\b
ADD COLUMN DEFAULT; add nullable then backfill	\bALTER\s+TABLE\b[\s\S]*\bADD\s+COLUMN\b[\s\S]*\bDEFAULT\b
Foreign key add; index then validate	\bALTER\s+TABLE\b[\s\S]*\bFOREIGN\s+KEY\b
NOT NULL add; backfill then enforce	\bALTER\s+TABLE\b[\s\S]*\bADD\s+COLUMN\b[\s\S]*\bNOT\s+NULL\b
Primary key add; create unique index first	\bALTER\s+TABLE\b[\s\S]*\bPRIMARY\s+KEY\b
DROP DATABASE; require backup and approval	\bDROP\s+DATABASE\b
Dropping NOT NULL; stage contract change	\bALTER\s+TABLE\b[\s\S]*\bALTER\s+COLUMN\b[\s\S]*\bDROP\s+NOT\s+NULL\b
DROP TABLE; check dependencies and backup	\bDROP\s+TABLE\b
TRUNCATE CASCADE; verify child tables	\bTRUNCATE\b[\s\S]*\bCASCADE\b
Column type change; add, backfill, swap	\bALTER\s+TABLE\b[\s\S]*\bALTER\s+COLUMN\b[\s\S]*\bTYPE\b
UNIQUE add; dedupe then validate online	\b(?:ADD\s+CONSTRAINT\b[\s\S]*\bUNIQUE\b|CREATE\s+UNIQUE\s+INDEX\b)
Blocking DDL; use online migration	^[\s\S]*\b(?:ALTER\s+TABLE|TRUNCATE|DROP\s+TABLE|CREATE\s+(?:UNIQUE\s+)?INDEX)\b
Column rename; add alias, migrate callers	\bALTER\s+TABLE\b[\s\S]*\bRENAME\s+COLUMN\b
Table rename; use compatibility view	\bALTER\s+TABLE\b[\s\S]*\bRENAME\s+TO\b
CREATE INDEX; build online or off-peak	\bCREATE\s+(?:UNIQUE\s+)?INDEX\b
DROP INDEX; verify usage then drop online	\bDROP\s+INDEX\b
Nested transaction; flatten or use savepoints	\b(?:BEGIN|START\s+TRANSACTION)\b[\s\S]*\b(?:BEGIN|START\s+TRANSACTION|SAVEPOINT)\b
Non-idempotent DDL; add guards	\b(?:CREATE\s+(?:TABLE|INDEX|SCHEMA|VIEW|TYPE|FUNCTION|SEQUENCE)|DROP\s+(?:TABLE|INDEX|SCHEMA|VIEW|TYPE|FUNCTION|SEQUENCE))\b
Domain CHECK; validate before enforcing	\bCREATE\s+DOMAIN\b[\s\S]*\b(?:CHECK|CONSTRAINT)\b
Domain constraint; validate in phases	\bALTER\s+DOMAIN\b[\s\S]*\bADD\s+CONSTRAINT\b
Enum ordering; append or use lookup	\bALTER\s+TYPE\b[\s\S]*\bADD\s+VALUE\b[\s\S]*\b(?:BEFORE|AFTER)\b
@@IDENTITY; use scoped identity output	\b@@IDENTITY\b
Unbounded window sort; filter, index, or limit	\bORDER\s+BY\b[\s\S]*\bOVER\s*\(|\bSELECT\s+DISTINCT\b[\s\S]*\bORDER\s+BY\b
Routine/trigger/event DDL; deploy via migrations	\bCREATE\s+(?:PROCEDURE|FUNCTION|TRIGGER|EVENT)\b
Routine body; test side effects	\bCREATE\s+(?:PROCEDURE|FUNCTION)\b[\s\S]*\bBEGIN\b
Reserved object name; rename or quote	\bCREATE\s+(?:TABLE|VIEW|PROCEDURE|FUNCTION)\s+`?(?:group|order|rank|system)`?\b
Partitioning; verify pruning and retention	\bPARTITION\s+BY\s+(?:HASH|KEY|RANGE|LIST)\b
Long FK name; shorten it	\bCONSTRAINT\s+[A-Za-z0-9_]{65,}\s+FOREIGN\s+KEY\b
Nullable arithmetic; COALESCE or enforce NOT NULL	\bSELECT\b[\s\S]*\b\w+\s*[+\-*/]\s*\w+\b
OUTPUT before RETURN; assign defaults first	\bCREATE\s+(?:PROC|PROCEDURE)\b[\s\S]*\bOUTPUT\b[\s\S]*\bRETURN\b
Lossy cast; widen type or validate range	\bCAST\s*\([^)]*\bAS\s+(?:TINYINT|SMALLINT|INT|DECIMAL\s*\(\s*\d{1,2}\s*,\s*\d+\s*\))\b
Exclusive lock; shrink scope	\bLOCK\s+TABLE\b[\s\S]*\bACCESS\s+EXCLUSIVE\b[\s\S]*;[\s\S]*\b(?:SELECT|INSERT|UPDATE|DELETE|ALTER|CREATE|DROP)\b
Pinned extension; manage via migrations	\bALTER\s+EXTENSION\b[\s\S]*\bUPDATE\s+TO\b
regclass usage; use stable object names	\b(?:regproc|regprocedure|regoper|regoperator|regclass|regtype|regconfig|regdictionary)\b
Bulk load; validate source and permissions	\bCOPY\b[\s\S]*\bFROM\b
SELECT FOR UPDATE transaction; commit fast	\bBEGIN\b[\s\S]*\bSELECT\b[\s\S]*\bFOR\s+UPDATE\b[\s\S]*\bCOMMIT\b
FOR SHARE; keep transaction short	\bFOR\s+SHARE\b
Constraint add; validate data and indexes	\b(?:NOT\s+NULL|CHECK\s*\(|CONSTRAINT\s+\w+\s+CHECK\s*\()
DELETE JOIN; preview keys and batch	\bDELETE\b[\s\S]*\bJOIN\b
INSERT missing columns; list columns	\bINSERT\s+INTO\s+[\w\."`\[\]]+\s+(?:VALUES|SELECT|DEFAULT)\b
TOP without order; add stable ORDER BY	\bSELECT\s+TOP\s+\d+\b(?:[^;O]|O(?:[^R;]|R(?:[^D;]|D(?:[^E;]|E[^R;]))))*(?:;|$)
MONEY type; use DECIMAL/NUMERIC	\b(?:SMALLMONEY|MONEY)\b
Float exact value; use DECIMAL/NUMERIC	\b(?:FLOAT|REAL)\b
Database switch; use qualified names	\bUSE\s+DATABASE\b
Mixed parameters; standardize style	:[A-Za-z_][A-Za-z0-9_]*[\s\S]*\?|\?[\s\S]*:[A-Za-z_][A-Za-z0-9_]*
EXECUTE IMMEDIATE INTO; use only for queries	\bEXECUTE\s+IMMEDIATE\b[\s\S]*?\bINTO\b[\s\S]*?\b(INSERT|UPDATE|DELETE|MERGE|CREATE|DROP|ALTER|TRUNCATE)\b
Nested dynamic SQL; bind once	\bEXECUTE\s+IMMEDIATE\b[\s\S]*\bEXECUTE\s+IMMEDIATE\b
EXECUTE IMMEDIATE block; split statements	\bEXECUTE\s+IMMEDIATE\b[\s\S]*?\bBEGIN\b[\s\S]*?\bEND\b
Invalid identifier; rename or quote	\b(?:FROM|JOIN|INTO|TABLE|UPDATE)\s+[A-Za-z_][A-Za-z0-9_]*[-#@!$%^&*+][A-Za-z0-9_\-#@!$%^&*+]*
SELECT trailing comma; remove it	\bSELECT\b[\s\S]*?,\s*\bFROM\b
CTE alias shadowing; rename inner CTE	\bWITH\b[\s\S]*?\b(\w+)\s+AS\s*\([\s\S]*?\bWITH\b[\s\S]*?\b\w+\s+AS\s*\(
Missing WINDOW clause; define or inline	\bOVER\s+[A-Za-z_]\w*\b
Standalone COMMIT; wrap or remove	(?:^|;)\s*COMMIT\b
Limited DML without WHERE; add key filter	\b(?:UPDATE|DELETE)\b(?:[^;W]|W(?:[^H;]|H(?:[^E;]|E(?:[^R;]|R[^E;]))))*\b(?:ORDER\s+BY|LIMIT\s+\d+)\b
Dropping FK; verify integrity first	\bALTER\s+TABLE\b[\s\S]*\bDROP\s+(?:FOREIGN\s+KEY|CONSTRAINT\s+\w*(?:fk|foreign)\w*)\b
Dropping CHECK; replace validation first	\bALTER\s+TABLE\b[\s\S]*\bDROP\s+(?:CHECK|CONSTRAINT\s+\w*(?:chk|check)\w*)\b
Dropping PK; add replacement key first	\bALTER\s+TABLE\b[\s\S]*\bDROP\s+PRIMARY\s+KEY\b
DROP SCHEMA; backup and gate environment	\bDROP\s+SCHEMA\b
UNIQUE conversion; dedupe first	\bALTER\s+(?:INDEX|TABLE)\b[\s\S]*\bUNIQUE\b
LOGGED toggle; schedule rewrite	\bALTER\s+TABLE\b[\s\S]*\bSET\s+(?:LOGGED|UNLOGGED)\b
Trigger creation; keep body minimal	\bCREATE\s+(?:OR\s+REPLACE\s+)?TRIGGER\b
Identity column add; backfill in phases	\bALTER\s+TABLE\b[\s\S]*\bADD\s+COLUMN\b[\s\S]*\bGENERATED\s+(?:ALWAYS|BY\s+DEFAULT)\s+AS\s+IDENTITY\b
Access method change; rebuild online	\bALTER\s+TABLE\b[\s\S]*\bSET\s+ACCESS\s+METHOD\b
Inline REFERENCES add; use separate FK	\bALTER\s+TABLE\b[\s\S]*\bADD\s+COLUMN\b[\s\S]*\bREFERENCES\b
ENUM column change; migrate in phases	\bALTER\s+TABLE\b[\s\S]*\b(?:MODIFY|CHANGE)\b[\s\S]*\bENUM\s*\(
SET column change; normalize or phase	\bALTER\s+TABLE\b[\s\S]*\b(?:MODIFY|CHANGE)\b[\s\S]*\bSET\s*\(
